Artist,Album,Track,DateTime,Date,Time,Acousticness,Danceability,Energy,Tempo,Valence,Loudness,Instrumentalness,Speechiness
Laufey,Let You Break My Heart Again,Let You Break My Heart Again,2-28-2023 4:22:00,2-28-2023,4:22:00,0.965,0.299,0.142,76.748,0.123,-15.134,0.113,0.0369
Mitski,Retired from Sad New Career in Business,I Want You,2-28-2023 4:19:00,2-28-2023,4:19:00,0.514,0.339,0.292,131.702,0.0655,-11.294,0,0.0348
Billie Eilish,Happier Than Ever,Happier Than Ever,2-28-2023 4:14:00,2-28-2023,4:14:00,0.767,0.332,0.225,81.055,0.297,-8.697,0.00349,0.0348
Katy Perry,Teenage Dream,The One That Got Away,2-28-2023 4:10:00,2-28-2023,4:10:00,0.000812,0.691,0.795,133.971,0.876,-4.021,1.02E-06,0.0355
SEULGI,28 Reasons - The 1st Mini Album,Anywhere But Home,2-28-2023 2:32:00,2-28-2023,2:32:00,0.345,0.698,0.798,117.051,0.528,-2.583,1.47E-06,0.0825
SEULGI,28 Reasons - The 1st Mini Album,Anywhere But Home,2-28-2023 2:28:00,2-28-2023,2:28:00,0.345,0.698,0.798,117.051,0.528,-2.583,1.47E-06,0.0825
NCT DREAM,Glitch Mode - The 2nd Album,Teddy Bear,2-28-2023 2:24:00,2-28-2023,2:24:00,0.71,0.731,0.594,106.001,0.484,-5.688,1.18E-06,0.0315
NCT U,NCT RESONANCE Pt. 2 - The 2nd Album,I.O.U,2-28-2023 2:21:00,2-28-2023,2:21:00,0.375,0.572,0.785,125.037,0.398,-3.968,0,0.0413
NCT DREAM,We BOOM - The 3rd Mini Album,BOOM,2-28-2023 2:17:00,2-28-2023,2:17:00,0.131,0.914,0.516,119.969,0.702,-4.178,0,0.0918
NCT DREAM,Reload,Love Again,2-28-2023 2:14:00,2-28-2023,2:14:00,0.0451,0.696,0.92,104.035,0.59,-2.004,0,0.119
NCT 127,2 Baddies - The 4th Album,Time Lapse,2-28-2023 2:10:00,2-28-2023,2:10:00,0.0589,0.484,0.9,84.901,0.462,-3.567,0,0.209
LE SSERAFIM,ANTIFRAGILE,Impurities,2-28-2023 2:07:00,2-28-2023,2:07:00,0.231,0.715,0.757,90.065,0.464,-4.746,0,0.0373
Seventeen,SEVENTEEN 8th Mini Album Your Choice,Same dream same mind same night,2-28-2023 2:03:00,2-28-2023,2:03:00,0.198,0.503,0.644,163.79,0.367,-6.077,0,0.0594
NCT 127,2 Baddies - The 4th Album,Crash Landing,2-28-2023 2:00:00,2-28-2023,2:00:00,0.199,0.592,0.874,140.06,0.56,-2.059,0,0.0904
NCT DREAM,THE DREAM SHOW - The 1st Live Album,BOOM - Live,2-28-2023 1:56:00,2-28-2023,1:56:00,0.258,0.689,0.861,119.959,0.613,-4.125,0,0.0458
